x,y
280455.0,4870275.0
280485.0,4870275.0
280515.0,4870275.0
280545.0,4870275.0
280575.0,4870275.0
280605.0,4870275.0
280635.0,4870275.0
280665.0,4870275.0
280695.0,4870275.0
280725.0,4870275.0
280755.0,4870275.0
280785.0,4870275.0
280815.0,4870275.0
280845.0,4870275.0
280875.0,4870275.0
280905.0,4870275.0
280455.0,4870245.0
280485.0,4870245.0
280515.0,4870245.0
280545.0,4870245.0
280575.0,4870245.0
280605.0,4870245.0
280635.0,4870245.0
280665.0,4870245.0
280695.0,4870245.0
280725.0,4870245.0
280755.0,4870245.0
280785.0,4870245.0
280815.0,4870245.0
280845.0,4870245.0
280875.0,4870245.0
280905.0,4870245.0
280455.0,4870215.0
280485.0,4870215.0
280515.0,4870215.0
280545.0,4870215.0
280575.0,4870215.0
280605.0,4870215.0
280635.0,4870215.0
280665.0,4870215.0
280695.0,4870215.0
280725.0,4870215.0
280755.0,4870215.0
280785.0,4870215.0
280815.0,4870215.0
280845.0,4870215.0
280875.0,4870215.0
280905.0,4870215.0
280455.0,4870185.0
280485.0,4870185.0
280515.0,4870185.0
280545.0,4870185.0
280575.0,4870185.0
280605.0,4870185.0
280635.0,4870185.0
280665.0,4870185.0
280695.0,4870185.0
280725.0,4870185.0
280755.0,4870185.0
280785.0,4870185.0
280815.0,4870185.0
280845.0,4870185.0
280875.0,4870185.0
280905.0,4870185.0
280455.0,4870155.0
280485.0,4870155.0
280515.0,4870155.0
280545.0,4870155.0
280575.0,4870155.0
280605.0,4870155.0
280635.0,4870155.0
280665.0,4870155.0
280695.0,4870155.0
280725.0,4870155.0
280755.0,4870155.0
280785.0,4870155.0
280815.0,4870155.0
280845.0,4870155.0
280875.0,4870155.0
280905.0,4870155.0
280455.0,4870125.0
280485.0,4870125.0
280515.0,4870125.0
280545.0,4870125.0
280575.0,4870125.0
280605.0,4870125.0
280635.0,4870125.0
280665.0,4870125.0
280695.0,4870125.0
280725.0,4870125.0
280755.0,4870125.0
280785.0,4870125.0
280815.0,4870125.0
280845.0,4870125.0
280875.0,4870125.0
280905.0,4870125.0
280455.0,4870095.0
280485.0,4870095.0
280515.0,4870095.0
280545.0,4870095.0
280575.0,4870095.0
